01FB15ECS457,TAL
01FB14ECS271,8.64
01FB14ECS086,8.59
01FB14ECS282,8.59
01FB14ECS059,8.55
01FB14ECS078,8.55
01FB14ECS102,8.55
01FB14ECS120,8.55
01FB14ECS141,8.55
01FB14ECS246,8.55
01FB14ECS090,8.5
01FB14ECS133,8.5
01FB14ECS154,8.5
01FB14ECS186,8.5
01FB14ECS233,8.5
01FB14ECS236,8.5
01FB14ECS053,8.45
01FB14ECS107,8.45
01FB14ECS125,8.45
01FB14ECS128,8.45
01FB14ECS134,8.45
01FB14ECS185,8.45
01FB14ECS206,8.45
01FB14ECS207,8.45
01FB14ECS299,8.45
01FB14ECS042,8.41
01FB14ECS080,8.41
01FB14ECS230,8.41
01FB14ECS025,8.36
01FB14ECS151,8.36
01FB14ECS200,8.36
01FB14ECS071,8.32
01FB14ECS099,8.32
01FB14ECS203,8.32
01FB14ECS258,8.32
01FB15ECS415,8.32
01FB14ECS047,8.27
01FB14ECS160,8.27
01FB14ECS170,8.27
01FB14ECS091,8.23
01FB14ECS140,8.23
01FB14ECS167,8.23
01FB14ECS231,8.23
01FB14ECS250,8.23
01FB14ECS041,8.18
01FB14ECS074,8.18
01FB14ECS116,8.18
01FB14ECS150,8.18
01FB14ECS043,8.14
01FB14ECS111,8.14
01FB14ECS164,8.14
01FB14ECS243,8.14
01FB14ECS006,8.09
01FB14ECS075,8.09
01FB14ECS136,8.09
01FB14ECS143,8.09
01FB14ECS266,8.09
01FB14ECS289,8.09
01FB14ECS295,8.09
01FB14ECS051,8.05
01FB14ECS101,8.05
01FB15ECS411,8.05
01FB14ECS028,8
01FB14ECS129,8
01FB14ECS216,8
01FB14ECS056,7.95
01FB14ECS085,7.95
01FB14ECS105,7.95
01FB14ECS139,7.95
01FB14ECS149,7.95
01FB14ECS257,7.95
01FB14ECS265,7.95
01FB14ECS279,7.95
01FB14ECS093,7.91
01FB14ECS119,7.91
01FB14ECS157,7.91
01FB14ECS219,7.91
01FB14ECS242,7.91
01FB14ECS293,7.91
01FB14ECS007,7.86
01FB14ECS067,7.86
01FB14ECS256,7.86
01FB14ECS275,7.86
01FB14ECS044,7.82
01FB14ECS072,7.79
01FB14ECS213,7.77
01FB14ECS272,7.77
01FB14ECS054,7.73
01FB14ECS082,7.73
01FB14ECS095,7.73
01FB14ECS181,7.73
01FB14ECS118,7.68
01FB14ECS152,7.68
01FB15ECS433,7.68
